id;vehicle_number;owner_name;engine_num;chassis_num;vehicle_type;brand;model_code;color;capacity;registration_date;expiration_date;issued_by
1;miserably whistle;overload summer thyme;bus sick;frequent;er;qua absent celsius;upbeat of optimistically;sky blue;hassle gummy;2024-10-24T04:38:51;2024-10-23T19:49:19;furiously humidity
2;phew peter;fat welcome weighty;shrill unhealthy;unblinking steeple;circumnavigate excepting;destock jubilant;scale courageous;cyan;massive boo;2024-10-23T20:20:18;2024-10-24T06:46:02;carpool christen evenly
3;habit;knitting;oil;minister;muffled oof once;upon rigid grumpy;that meal;plum;as but;2024-10-23T10:58:17;2024-10-23T12:16:24;madly gadzooks
4;terribly among;astonishing;spice although;reschedule;usually mobilise;disloyal;carefree like;yellow;indeed superb old;2024-10-23T10:15:18;2024-10-24T01:29:35;because amidst fatal
5;stock mortally through;a versus;governance;outside hm by;midwife consequently;whose;shell unimpressively provided;lime;what;2024-10-24T06:50:50;2024-10-24T06:22:22;sweetly absent
6;safely instead;earnest famously tough;ah lazy ugh;longboat;who;justly at;yum inasmuch;gold;after;2024-10-23T18:59:44;2024-10-23T13:42:26;indeed yeast intently
7;coordination;unfortunately geez;graduate clinch pace;sock because whoa;vice;if;whenever regarding;lavender;immediately access;2024-10-24T02:13:01;2024-10-23T10:28:36;knowledgeable
8;well-lit proceed;council;bah atop;uh-huh vulgarise;electronics;season incidentally flight;far;azure;bashfully distorted yippee;2024-10-23T16:57:12;2024-10-23T18:51:16;though the
9;edible;tame clearly wherever;however;yellow suspiciously graft;pro lady unibody;towards retract magnetize;questionable powerfully;green;now;2024-10-23T20:02:46;2024-10-24T04:45:03;terribly anenst
10;via vainly complicated;masterpiece even wherever;instantly;revere;sparse;defensive;brr mean;silver;though though;2024-10-23T15:48:32;2024-10-23T22:28:59;while deeply
